gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,sum_click,consistency,TMA_average,CMA_average,TMA_score,CMA_score,Total_average_score,Total_assessment_score,submission_date_average
1,3,9.0,2.0,0,240,0,1,710.0,16.75441919059763,81.0,0.0,4080.0,0.0,81.0,4080.0,-1.3333333333333333
0,3,2.0,1.0,0,60,0,1,986.0,15.279285052781034,69.33333333333333,0.0,3460.0,0.0,69.33333333333333,3460.0,1.6666666666666667
0,2,5.0,1.0,0,60,0,1,1382.0,14.551545255192071,72.33333333333333,0.0,3620.0,0.0,72.33333333333333,3620.0,-2.3333333333333335
0,1,5.0,0.0,0,60,0,1,799.0,13.276952933238816,54.0,0.0,2550.0,0.0,54.0,2550.0,11.666666666666666
1,2,8.0,1.0,0,60,0,1,1312.0,15.250278281209198,74.0,0.0,3650.0,0.0,74.0,3650.0,3.3333333333333335
1,3,3.0,0.0,0,60,0,1,912.0,16.09536975242572,65.66666666666667,0.0,3240.0,0.0,65.66666666666667,3240.0,0.3333333333333333
0,2,9.0,0.0,0,120,0,1,879.0,11.252324106140161,72.0,0.0,3600.0,0.0,72.0,3600.0,0.3333333333333333
0,2,7.0,0.0,0,90,0,1,1069.0,14.898142861841746,71.66666666666667,0.0,3580.0,0.0,71.66666666666667,3580.0,0.0
1,1,7.0,1.0,0,60,0,1,973.0,13.575272140233666,74.0,0.0,3760.0,0.0,74.0,3760.0,-1.0
0,2,2.0,0.0,0,60,0,1,1100.0,16.067829794996822,71.66666666666667,0.0,3570.0,0.0,71.66666666666667,3570.0,0.6666666666666666
1,1,6.0,1.0,0,60,0,1,861.0,15.686279457589139,72.0,0.0,3650.0,0.0,72.0,3650.0,-0.6666666666666666
0,3,5.0,0.0,0,60,0,1,2126.0,19.405729935770808,77.66666666666667,0.0,3930.0,0.0,77.66666666666667,3930.0,-3.0
1,1,4.0,1.0,0,60,0,1,1835.0,19.046360611846044,67.66666666666667,0.0,3230.0,0.0,67.66666666666667,3230.0,0.0
0,2,6.0,1.0,0,60,0,1,665.0,14.5474804936292,59.666666666666664,0.0,2990.0,0.0,59.666666666666664,2990.0,-1.3333333333333333
1,2,1.0,1.0,0,150,0,0,84.0,3.34995854037363,48.333333333333336,0.0,2300.0,0.0,48.333333333333336,2300.0,2.0
1,2,3.0,1.0,0,60,0,1,1853.0,30.228889804865815,66.66666666666667,0.0,3330.0,0.0,66.66666666666667,3330.0,-1.3333333333333333
1,2,3.0,0.0,0,60,0,1,512.0,7.767717364129453,73.66666666666667,0.0,3690.0,0.0,73.66666666666667,3690.0,-1.0
1,3,0.0,0.0,0,60,0,1,923.0,10.16832272457708,74.66666666666667,0.0,3730.0,0.0,74.66666666666667,3730.0,5.666666666666667
1,1,7.0,1.0,0,60,0,1,2010.0,28.492902381314387,60.0,0.0,2980.0,0.0,60.0,2980.0,-5.666666666666667
1,2,2.0,0.0,0,60,0,1,456.0,9.072772053995635,67.33333333333333,0.0,3410.0,0.0,67.33333333333333,3410.0,-2.3333333333333335
1,1,8.0,1.0,0,60,0,1,2609.0,28.297799732116165,74.33333333333333,0.0,3620.0,0.0,74.33333333333333,3620.0,-2.0
1,2,3.0,0.0,0,60,0,1,1119.0,9.5474881681543,84.0,0.0,4240.0,0.0,84.0,4240.0,0.0
1,3,6.0,0.0,0,60,0,1,727.0,14.950408475850379,76.33333333333333,0.0,3820.0,0.0,76.33333333333333,3820.0,-0.6666666666666666
1,3,8.0,1.0,0,60,0,0,447.0,12.425562618452664,60.0,0.0,2930.0,0.0,60.0,2930.0,7.0
1,1,2.0,0.0,0,60,0,1,405.0,10.439755759358542,54.666666666666664,0.0,2710.0,0.0,54.666666666666664,2710.0,-0.3333333333333333
1,3,8.0,1.0,0,60,0,1,575.0,10.120579692253413,65.0,0.0,3240.0,0.0,65.0,3240.0,-0.3333333333333333
0,3,9.0,1.0,0,60,0,1,1623.0,22.85872046454801,80.0,0.0,2400.0,0.0,80.0,2400.0,-4.5
1,1,6.0,1.0,0,60,0,1,2290.0,20.417965756100287,78.33333333333333,0.0,3890.0,0.0,78.33333333333333,3890.0,1.0
